# ground_pressure_hPa,1008.73,,
time_ms,pressure_hPa,temperature_C,altitude_m
0,1008.73,24.76,-0.02
50,1008.72,24.75,0.09
100,1008.73,24.76,-0.02
150,1008.73,24.73,-0.03
200,1008.72,24.75,0.12
250,1008.71,24.75,0.18
300,1008.7,24.73,0.22
350,1008.68,24.73,0.4
400,1008.66,24.76,0.62
450,1008.64,24.75,0.79
500,1008.59,24.74,1.14
550,1008.55,24.73,1.52
600,1008.51,24.76,1.84
650,1008.45,24.77,2.35
700,1008.39,24.74,2.86
750,1008.32,24.74,3.42
800,1008.24,24.74,4.08
850,1008.12,24.75,5.1
900,1007.98,24.74,6.3
950,1007.84,24.74,7.48
1000,1007.68,24.73,8.81
1050,1007.5,24.72,10.26
1100,1007.33,24.71,11.68
1150,1007.13,24.7,13.41
1200,1006.91,24.73,15.21
1250,1006.7,24.71,16.99
1300,1006.45,24.68,19.06
1350,1006.19,24.68,21.24
1400,1005.9,24.68,23.73
1450,1005.56,24.66,26.56
1500,1005.22,24.65,29.36
1550,1004.87,24.64,32.32
1600,1004.51,24.63,35.32
1650,1004.13,24.61,38.58
1700,1003.69,24.62,42.22
1750,1003.24,24.61,46.01
1800,1002.77,24.57,49.98
1850,1002.27,24.55,54.15
1900,1001.75,24.54,58.56
1950,1001.18,24.52,63.31
2000,1000.62,24.52,68.06
2050,1000.05,24.49,72.81
2100,999.52,24.48,77.28
2150,999,24.46,81.69
2200,998.53,24.45,85.66
2250,998.1,24.45,89.25
2300,997.7,24.44,92.7
2350,997.28,24.42,96.22
2400,996.93,24.41,99.16
2450,996.59,24.41,101.99
2500,996.29,24.37,104.57
2550,996.03,24.39,106.73
2600,995.8,24.38,108.68
2650,995.59,24.35,110.51
2700,995.39,24.37,112.2
2750,995.2,24.36,113.75
2800,995.07,24.36,114.89
2850,994.94,24.34,115.93
2900,994.82,24.37,117.02
2950,994.74,24.34,117.68
3000,994.66,24.35,118.3
3050,994.62,24.34,118.64
3100,994.6,24.34,118.84
3150,994.57,24.35,119.07
3200,994.57,24.36,119.1
3250,994.57,24.33,119.07
3300,994.59,24.35,118.93
3350,994.58,24.32,119
3400,994.62,24.35,118.69
3450,994.65,24.34,118.44
3500,994.69,24.33,118.05
3550,994.71,24.36,117.94
3600,994.73,24.35,117.75
3650,994.77,24.33,117.38
3700,994.81,24.38,117.04
3750,994.84,24.35,116.84
3800,994.87,24.36,116.59
3850,994.9,24.35,116.34
3900,994.93,24.37,116.09
